	word	POS	sp_lemmas	sp_POS	fl_POS	nltk_lemmas	nltk_POS
0	Finally	ADV	finally	ADV	ADV	Finally	ADV
1	drinks	NOUN	drink	NOUN	NOUN	drink	NOUN
2	are	VERB	be	VERB	VERB	be	VERB
3	served	VERB	serve	VERB	VERB	serve	VERB
4	and	CONJ	and	CONJ	CONJ	and	CONJ
5	Simon	NOUN	Simon	NOUN	NOUN	Simon	NOUN
6	drinks	VERB	drink	VERB	VERB	drink	VERB
7	his	PRON	-PRON-	DET	PRON	his	PRON
8	beer	NOUN	beer	NOUN	NOUN	beer	NOUN
9	as	CONJ	as	CONJ	other	a	PREP
10	though	CONJ	though	CONJ	other	though	PREP
11	it	PRON	-PRON-	PRON	PRON	it	PRON
12	's	VERB	be	VERB	VERB	's	VERB
13	the	DET	the	DET	DET	the	DET
14	most	ADV	most	ADV	ADV	most	ADV
15	delicious	ADJ	delicious	ADJ	ADJ	delicious	ADJ
16	thing	NOUN	thing	NOUN	NOUN	thing	NOUN
17	he	PRON	-PRON-	PRON	PRON	he	PRON
18	's	VERB	be	VERB	VERB	's	VERB
19	had	VERB	have	VERB	VERB	have	VERB
20	in	PREP	in	PREP	other	in	PREP
21	his	PRON	-PRON-	DET	PRON	his	PRON
22	entire	ADJ	entire	ADJ	ADJ	entire	ADJ
23	life	NOUN	life	NOUN	NOUN	life	NOUN
24	We	PRON	-PRON-	PRON	PRON	We	PRON
25	talk	VERB	talk	VERB	VERB	talk	VERB
26	about	PREP	about	PREP	other	about	PREP
27	the	DET	the	DET	DET	the	DET
28	most	ADV	most	ADV	ADV	most	ADV
29	random	ADJ	random	ADJ	ADJ	random	ADJ
30	things	NOUN	thing	NOUN	NOUN	thing	NOUN
31	from	PREP	from	PREP	other	from	PREP
32	the	DET	the	DET	DET	the	DET
33	new	ADJ	new	ADJ	ADJ	new	ADJ
34	lead	NOUN	lead	NOUN	NOUN	lead	NOUN
35	he	PRON	-PRON-	PRON	PRON	he	PRON
36	has	VERB	have	VERB	VERB	have	VERB
37	in	PREP	in	PREP	other	in	PREP
38	his	PRON	-PRON-	DET	PRON	his	PRON
39	case	NOUN	case	NOUN	NOUN	case	NOUN
40	about	PREP	about	PREP	other	about	PREP
41	lead	NOUN	lead	ADJ	ADJ	lead	NOUN
42	poisoning	NOUN	poisoning	NOUN	NOUN	poisoning	NOUN
43	to	PREP	to	PREP	other	to	PRCL
44	that	DET	that	DET	DET	that	DET
45	god	NOUN	god	NOUN	NOUN	god	NOUN
46	awful	ADJ	awful	ADJ	ADJ	awful	ADJ
47	seminar	NOUN	seminar	NOUN	NOUN	seminar	NOUN
48	he	PRON	-PRON-	PRON	PRON	he	PRON
49	is	VERB	be	VERB	VERB	be	VERB
50	going	VERB	go	VERB	VERB	go	VERB
51	to	PRCL	to	PRCL	PRCL	to	PRCL
52	lead	VERB	lead	VERB	VERB	lead	VERB
53	in	PREP	in	PREP	other	in	PREP
54	two	NUM	two	NUM	NUM	two	NUM
55	weeks	NOUN	week	NOUN	NOUN	week	NOUN
56	We	PRON	-PRON-	PRON	PRON	We	PRON
57	end	VERB	end	VERB	VERB	end	VERB
58	up	PREP	up	PREP	PRON	up	PRCL
59	discussing	VERB	discuss	VERB	VERB	discuss	VERB
60	the	DET	the	DET	DET	the	DET
61	works	NOUN	work	NOUN	NOUN	work	NOUN
62	of	PREP	of	PREP	other	of	PREP
