word	POS
Finally	ADV
drinks	NOUN
are	AUX
served	VERB
and	CONJ
Simon	NOUN
drinks	VERB
his	APRON
beer	NOUN
as	CONJ
though	CONJ
it	SPRON
's	AUX
the	DET
most	ADV
delicious	ADJ
thing	NOUN
he	SPRON
's	AUX
had	VERB
in	PREP
his	APRON
entire	ADJ
life	NOUN
We	SPRON
talk	VERB
about	PREP
the	DET
most	ADV
random	ADJ
things	NOUN
from	PREP
the	DET
new	ADJ
lead	NOUN
he	SPRON
has	VERB
in	PREP
his	APRON
case	NOUN
about	PREP
lead	NOUN
poisoning	NOUN
to	PREP
that	DET
god	NOUN
awful	ADJ
seminar	NOUN
he	SPRON
is	AUX
going	VERB
to	PART
lead	VERB
in	PREP
two	NUM
weeks	NOUN
We	SPRON
end	VERB
up	PREP
discussing	VERB
the	DET
works	NOUN
of	PREP
a	DET
modern	ADJ
Nauruan	ADJ
artist	NOUN
whose	APRON
name	NOUN
I	SPRON
don	AUX
't	ADV
even	ADV
hope	VERB
to	PART
remember	VERB
and	CONJ
after	PREP
another	ADJ
round	NOUN
of	PREP
drinks	NOUN
tequila	NOUN
this	DET
time	NOUN
I	SPRON
tell	VERB
Simon	NOUN
about	PREP
a	DET
guy	NOUN
that	CONJ
works	VERB
in	PREP
the	DET
office	NOUN
next	ADJ
door	NOUN
and	CONJ
has	VERB
the	DET
most	ADV
round	ADJ
face	NOUN
imagineable	ADJ
Around	PREP
midnight	NOUN
there	ADV
is	VERB
no	DET
more	ADV
room	NOUN
for	PREP
anything	SPRON
liquid	ADJ
in	PREP
our	APRON
stomachs	NOUN
and	CONJ
no	DET
cash	NOUN
in	PREP
our	APRON
wallets	NOUN
so	CONJ
we	SPRON
decide	VERB
to	PART
head	VERB
out	PREP
Simon	NOUN
's	POSS
car	NOUN
is	AUX
parked	VERB
around	PREP
the	DET
corner	NOUN
and	CONJ
at	PREP
this	DET
point	NOUN
he	SPRON
wants	VERB
nothing	SPRON
more	ADV
than	CONJ
to	PART
get	VERB
in	PREP
it	SPRON
and	CONJ
sleep	VERB
it	SPRON
off	PREP
for	PREP
the	DET
next	ADJ
two	NUM
weeks	NOUN
but	CONJ
I	SPRON
point	VERB
towards	PREP
a	DET
cab	NOUN
waiting	VERB
on	PREP
the	DET
other	ADJ
side	NOUN
of	PREP
the	DET
road	NOUN
make	VERB
Simon	NOUN
turn	VERB
around	ADV
and	CONJ
practically	ADV
drag	VERB
him	SPRON
across	PREP
the	DET
street	NOUN
