	word	POS	pm2_lemmas	pm2_POS	ms_lemmas	ms_POS	nt_lemmas	nt_POS
0	Я	PRON	я	PRON	я	PRON	я	PRON
1	на	PREP	на	PREP	на	PREP	на	PREP
2	мели	NOUN	мелить	VERB	мель	NOUN	мель	NOUN
3	сходу	ADV	сходу	ADV	сходу	ADV	сход	NOUN
4	предупреждаю	VERB	предупреждать	VERB	предупреждать	VERB	предупреждать	VERB
5	я	PRON	я	PRON	я	PRON	я	PRON
6	снимая	VERB	снимать	VERB	снимать	VERB	снимать	VERB
7	пальто	NOUN	пальто	NOUN	пальто	NOUN	пальто	NOUN
8	и	CONJ	и	CONJ	и	CONJ	и	CONJ
9	проходя	VERB	проходить	VERB	проходить	VERB	проходить	VERB
10	в	PREP	в	PREP	в	PREP	в	PREP
11	комнату	NOUN	комната	NOUN	комната	NOUN	комната	NOUN
12	Навстречу	ADV	навстречу	ADV	навстречу	ADV	навстречу	NOUN
13	выходит	VERB	выходить	VERB	выходить	VERB	выходить	VERB
14	Алланова	ADJ	аллановый	ADJ	алланов	ADJ	алланов	ADJ
15	собака	NOUN	собака	NOUN	собака	NOUN	собака	NOUN
16	ньюфка	NOUN	ньюфка	NOUN	ньюфка	NOUN	ньюфка	NOUN
17	которая	PRON	который	ADJ	который	PRON	который	PRON
18	за	PREP	за	PREP	за	PREP	за	PREP
19	полгода	NOUN	полгода	NOUN	полгода	NOUN	полгода	NOUN
20	догнала	VERB	догнать	VERB	догнать	VERB	догнать	VERB
21	и	CONJ	и	CONJ	и	CONJ	и	CONJ
22	перегнала	VERB	перегнать	VERB	перегнать	VERB	перегнать	VERB
23	меня	PRON	я	PRON	я	PRON	я	PRON
24	в	PREP	в	PREP	в	PREP	в	PREP
25	весе	NOUN	вес	NOUN	вес	NOUN	вес	NOUN
26	Теперь	ADV	теперь	ADV	теперь	ADV	теперь	ADV
27	на	PREP	на	PREP	на	PREP	на	PREP
28	ней	PRON	она	PRON	она	PRON	она	PRON
29	можно	ADV	можно	ADV	можно	ADV	можно	ADV
30	ездить	VERB	ездить	VERB	ездить	VERB	ездить	VERB
31	верхом	ADV	верхом	ADV	верхом	ADV	верхом	ADV
32	Никогда	ADV	никогда	ADV	никогда	ADV	никогда	ADV
33	такого	PRON	такой	ADJ	такой	PRON	такой	PRON
34	не	PRCL	не	PRCL	не	PRCL	не	PRCL
35	было	VERB	быть	VERB	быть	VERB	быть	VERB
36	и	CONJ	и	CONJ	и	CONJ	и	CONJ
37	вот	PRCL	вот	PRCL	вот	PRCL	вот	PRCL
38	опять	ADV	опять	ADV	опять	ADV	опять	ADV
39	говорит	VERB	говорить	VERB	говорить	VERB	говорить	VERB
40	Аллан	NOUN	аллан	NOUN	аллан	NOUN	аллан	NOUN
41	и	CONJ	и	CONJ	и	CONJ	и	CONJ
42	закатывает	VERB	закатывать	VERB	закатывать	VERB	закатывать	VERB
43	глаза	NOUN	глаз	NOUN	глаз	NOUN	глаз	NOUN
