word	POS
Я	SPRON
на	PREP
мели	NOUN
сходу	ADV
предупреждаю	VERB
я	SPRON
снимая	VERB
пальто	NOUN
и	CONJ
проходя	VERB
в	PREP
комнату	NOUN
Навстречу	ADV
выходит	VERB
Алланова	ADJ
собака	NOUN
ньюфка	NOUN
которая	APRON
за	PREP
полгода	NOUN
догнала	VERB
и	CONJ
перегнала	VERB
меня	SPRON
в	PREP
весе	NOUN
Теперь	ADV
на	PREP
ней	SPRON
можно	PRED
ездить	VERB
верхом	ADV
Никогда	ADVPRO
такого	APRON
не	PART
было	VERB
и	CONJ
вот	PART
опять	ADV
говорит	VERB
Аллан	NOUN
и	CONJ
закатывает	VERB
глаза	NOUN
Все	ADV
такая	APRON
же	PART
язва	NOUN
На	PREP
душе	NOUN
у	PREP
меня	SPRON
вдруг	ADV
становится	VERB
спокойно	PRED
Солнце	NOUN
уже	ADV
село	VERB
а	CONJ
единственная	ADJ
в	PREP
комнате	NOUN
люстра	NOUN
в	PREP
свое	APRON
время	NOUN
купленная	VERB
в	PREP
секонде	NOUN
приказала	VERB
долго	ADV
жить	VERB
еще	ADV
до	PREP
прошлой	ADJ
вечеринки	NOUN
Конечно	INTR
времени	NOUN
починить	VERB
ее	SPRON
за	PREP
полгода	NOUN
у	PREP
Аллана	NOUN
не	PART
нашлось	VERB
Я	SPRON
свечу	VERB
ему	SPRON
фонариком	NOUN
на	PREP
телефоне	NOUN
пока	ADV
он	SPRON
достает	VERB
из	PREP
шкафа	NOUN
старую	ADJ
оплавившуюся	VERB
свечу	NOUN
и	CONJ
спички	NOUN
Скоро	ADV
всемирный	ADJ
день	NOUN
лени	NOUN
Я	SPRON
подарю	VERB
тебе	SPRON
лампу	NOUN
как	CONJ
главному	ADJ
лентяю	NOUN
А	CONJ
когда	ADVPRO
там	ADVPRO
всемирный	ADJ
день	NOUN
шила	NOUN
в	PREP
одном	APRON
месте	NOUN
Надо	PRED
не	PART
забыть	VERB
тебя	SPRON
поздравить	VERB
Мы	SPRON
беззлобно	ADV
переругиваемся	VERB
еще	ADV
с	PREP
четверть	NOUN
часа	NOUN
когда	CONJ
звонит	VERB
Ирэн	NOUN
и	CONJ
просит	VERB
помочь	VERB
ей	SPRON
донести	VERB
сумки	NOUN
с	PREP
продуктами	NOUN
от	PREP
метро	NOUN
Аллан	NOUN
говорит	VERB
что	CONJ
выйдет	VERB
ей	SPRON
навстречу	PREP
и	CONJ
добавляет	VERB
Надеюсь	VERB
Салли	NOUN
не	PART
задушит	VERB
мою	APRON
собаку	NOUN
пока	ADV
нас	SPRON
нет	PRED
Как	ADVPRO
знать	VERB
задумчиво	ADV
говорю	VERB
я	SPRON
рассматривая	VERB
ньюфку	NOUN
Та	APRON
кажется	INTR
не	PART
против	PRED
быть	VERB
задушенной	VERB
так	CONJ
что	CONJ
я	SPRON
валю	VERB
ее	SPRON
на	PREP
пол	NOUN
и	CONJ
она	SPRON
пытается	VERB
лизнуть	VERB
меня	SPRON
в	PREP
нос	NOUN
виляя	VERB
хвостом	NOUN
и	CONJ
чуть	PART
ли	PART
не	PART
пища	VERB
от	PREP
радости	NOUN
